"idhod","hodnota","ukaz_kod","vytah_cis","vytah_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vytah_txt","uzemi_txt"
"957607098","191","2409",,,"43","557048","2021","2021-03-26","Počet domů",,"Mouřínov"
"965567871","0","2409","3206","1","43","557048","2021","2021-03-26","Počet domů","s výtahem","Mouřínov"
"965554587","187","2409","3206","2","43","557048","2021","2021-03-26","Počet domů","bez výtahu","Mouřínov"
"965567872","4","2409","5768","9","43","557048","2021","2021-03-26","Počet domů","nezjištěno","Mouřínov"
"957320808","55","2409",,,"43","557081","2021","2021-03-26","Počet domů",,"Sytno"
"965554511","0","2409","3206","1","43","557081","2021","2021-03-26","Počet domů","s výtahem","Sytno"
"965554510","53","2409","3206","2","43","557081","2021","2021-03-26","Počet domů","bez výtahu","Sytno"
"965567800","2","2409","5768","9","43","557081","2021","2021-03-26","Počet domů","nezjištěno","Sytno"
"957099946","245","2409",,,"43","557099","2021","2021-03-26","Počet domů",,"Soběšice"
"965582614","0","2409","3206","1","43","557099","2021","2021-03-26","Počet domů","s výtahem","Soběšice"
"965502308","226","2409","3206","2","43","557099","2021","2021-03-26","Počet domů","bez výtahu","Soběšice"
"965488900","19","2409","5768","9","43","557099","2021","2021-03-26","Počet domů","nezjištěno","Soběšice"
"957605584","133","2409",,,"43","557102","2021","2021-03-26","Počet domů",,"Bohuslavice nad Vláří"
"965555126","0","2409","3206","1","43","557102","2021","2021-03-26","Počet domů","s výtahem","Bohuslavice nad Vláří"
"965501610","130","2409","3206","2","43","557102","2021","2021-03-26","Počet domů","bez výtahu","Bohuslavice nad Vláří"
"965488173","3","2409","5768","9","43","557102","2021","2021-03-26","Počet domů","nezjištěno","Bohuslavice nad Vláří"
"957248068","135","2409",,,"43","557111","2021","2021-03-26","Počet domů",,"Srní"
"965527321","0","2409","3206","1","43","557111","2021","2021-03-26","Počet domů","s výtahem","Srní"
"965567318","116","2409","3206","2","43","557111","2021","2021-03-26","Počet domů","bez výtahu","Srní"
"965554008","19","2409","5768","9","43","557111","2021","2021-03-26","Počet domů","nezjištěno","Srní"
"957462417","233","2409",,,"43","557129","2021","2021-03-26","Počet domů",,"Strašín"
"965553532","0","2409","3206","1","43","557129","2021","2021-03-26","Počet domů","s výtahem","Strašín"
"965500049","218","2409","3206","2","43","557129","2021","2021-03-26","Počet domů","bez výtahu","Strašín"
"965500050","15","2409","5768","9","43","557129","2021","2021-03-26","Počet domů","nezjištěno","Strašín"
"957461979","594","2409",,,"43","557137","2021","2021-03-26","Počet domů",,"Strážov"
"965580806","0","2409","3206","1","43","557137","2021","2021-03-26","Počet domů","s výtahem","Strážov"
"965487074","567","2409","3206","2","43","557137","2021","2021-03-26","Počet domů","bez výtahu","Strážov"
"965554009","27","2409","5768","9","43","557137","2021","2021-03-26","Počet domů","nezjištěno","Strážov"
"957606556","165","2409",,,"43","557145","2021","2021-03-26","Počet domů",,"Lukoveček"
"965501473","1","2409","3206","1","43","557145","2021","2021-03-26","Počet domů","s výtahem","Lukoveček"
"965514945","158","2409","3206","2","43","557145","2021","2021-03-26","Počet domů","bez výtahu","Lukoveček"
"965541537","6","2409","5768","9","43","557145","2021","2021-03-26","Počet domů","nezjištěno","Lukoveček"
"957604801","2115","2409",,,"43","557153","2021","2021-03-26","Počet domů",,"Sušice"
"965486908","79","2409","3206","1","43","557153","2021","2021-03-26","Počet domů","s výtahem","Sušice"
"965527164","2005","2409","3206","2","43","557153","2021","2021-03-26","Počet domů","bez výtahu","Sušice"
"965527165","31","2409","5768","9","43","557153","2021","2021-03-26","Počet domů","nezjištěno","Sušice"
"957099450","141","2409",,,"43","557161","2021","2021-03-26","Počet domů",,"Svéradice"
"965554350","0","2409","3206","1","43","557161","2021","2021-03-26","Počet domů","s výtahem","Svéradice"
"965554349","140","2409","3206","2","43","557161","2021","2021-03-26","Počet domů","bez výtahu","Svéradice"
"965527655","1","2409","5768","9","43","557161","2021","2021-03-26","Počet domů","nezjištěno","Svéradice"
"957462327","149","2409",,,"43","557170","2021","2021-03-26","Počet domů",,"Ostrata"
"965540604","0","2409","3206","1","43","557170","2021","2021-03-26","Počet domů","s výtahem","Ostrata"
"965540603","148","2409","3206","2","43","557170","2021","2021-03-26","Počet domů","bez výtahu","Ostrata"
"965540605","1","2409","5768","9","43","557170","2021","2021-03-26","Počet domů","nezjištěno","Ostrata"
